dens	prod	loc
23.48	223.01	PL
26.22	234.24	PL
27.79	221.68	PL
32.88	221.94	PL
33.27	197.45	PL
36.79	189.64	PL
37.58	211.2	PL
37.58	191.36	PL
41.49	156.62	PL
42.66	168.12	PL
44.23	197.89	PL
44.23	154.14	PL
51.67	153.26	PL
55.58	142.79	PL
55.58	126.17	PL
57.93	167.95	PL
58.71	144.54	PL
59.5	151.3	PL
60.67	130.52	PL
62.63	125.3	PL
67.71	114.05	PL
70.06	116.31	PL
70.45	120.71	PL
73.98	134.16	PL
73.98	114.48	PL
78.67	91.17	PL
95.9	101.27	PL
96.68	97.33	PL
96.68	101.37	PL
101.38	97.2	PL
103.72	87.12	PL
104.51	81.71	PL
105.68	76.44	PL
108.03	87.1	PL
117.82	84.54	PL
127.21	69.09	PL
134.26	64.4	PL
137.39	66.81	PL
151.87	63.01	PL
163.61	55.45	PL
166.35	62.54	PL
184.54	54.68	PL
18.78	272.15	V
21.15	235.23	V
23.23	180.47	V
27.18	177.31	V
30.15	141.28	V
31.63	169.39	V
32.12	138.17	V
32.62	171.81	V
32.62	112.02	V
33.61	156.09	V
37.07	137.29	V
38.55	154.1	V
39.54	124.17	V
39.54	146.28	V
41.02	105.47	V
42.5	139.24	V
43.98	148.31	V
45.47	110.44	V
49.92	90.72	V
50.9	102.61	V
53.87	107.36	V
57.82	92.66	V
61.78	96.52	V
61.78	94.71	V
63.75	99.86	V
67.71	93.37	V
71.66	89.78	V
77.59	69.34	V
80.56	73.74	V
86.49	75.17	V
88.46	72.98	V
89.45	79.94	V
90.93	79.13	V
92.91	70.93	V
101.81	60.99	V
103.78	74.09	V
115.15	49.45	V
123.06	56.65	V
144.31	47.84	V
155.68	40.03	V
158.15	38.7	V
180.39	28.96	V
